Company,Address,City,Zip Code
ATLANTIC GAS                           ,850 CORONA AVENUE                      ,VALLEY STREAM      ,11580
SUNOCO                                 ,1200 ROCKAWAY AVENUE                   ,VALLEY STREAM      ,11581
A BETTER BAGEL                         ,55 EAST MONTAUK HIGHWAY                ,AMITYVILLE         ,11726
KING KULLEN #55                        ,49-38 MERRICK ROAD                     ,MASSAPEQUA         ,11758
7-11 #11181                            ,4350 MERRICK ROAD                      ,MASSAPEQUA         ,11758
A & P - PATHMARK D.I.P. #652           ,941 CARMANS ROAD                       ,MASSAPEQUA         ,11758
A & P WALDBAUMS D.I.P. STORE # 465     ,705 HICKSVILLE ROAD                    ,MASSAPEQUA         ,11758
SEAQUA DELI                            ,4250 JERUSALEM AVENUE                  ,MASSAPEQUA         ,11758
PARK BAGEL                             ,1043A PARK BLVD                        ,MASSAPEQUA         ,11762
VILLAGE FARMS IGA                      ,1038 PARK BLVD                         ,MASSAPEQUA PARK    ,11762
BAGEL CAFE DELI & BAKERY               ,4942 MERRICK ROAD                      ,MASSAPEQUA PARK    ,11762
CALVERT MANOR BAGELS                   ,1242 HICKSVILLE ROAD                   ,SEAFORD            ,11758
7-11 #11151                            ,3750 JERUSALEM AVENUE                  ,SEAFORD            ,11783
KING KULLEN #07                        ,1340 WANTAGH AVENUE                    ,WANTAGH            ,11793
PENALTY BOX CAFE                       ,3728 PARK AVENUE                       ,WANTAGH            ,11793
WANTAGH BAGELS                         ,3056 MERRICK ROAD                      ,WANTAGH            ,11793
QUICK PICK                             ,2264 WANTAGH AVE                       ,WANTAGH            ,11793
GOURMET GLATT EMPORIUM                 ,137 SPRUCE STREET                      ,CEDARHURST         ,11516
BAGELRY                                ,507 CENTRAL AVENUE                     ,CEDARHURST         ,11516
KING KULLEN #14                        ,1765 PENINSULA BLVD                    ,HEWLETT            ,11557
LANDMARK DELI                          ,148 DOUGHTY BLVD                       ,INWOOD             ,11096
7-11 #33261                            ,3993 AUSTIN BOULEVARD                  ,ISLAND PARK        ,11558
SAL'S DELI                             ,8 CALIFORNIA PLACE                     ,ISLAND PARK        ,11558
ISLAND PARK DELI                       ,166 LONG BEACH ROAD                    ,ISLAND PARK        ,11558
BRACH'S & BRACH'S SUPERMARKET          ,11 LAWRENCE LANE                       ,LAWRENCE           ,11559
BURNSIDE DELI                          ,267 BURNSIDE AVE                       ,LAWRENCE           ,11559
A & P WALDBAUMS D.I.P. STORE # 658     ,85 EAST PARK AVENUE                    ,LONG BEACH         ,11561
SONG MINI MART                         ,800 W. BEECH AVENUE                    ,LONG BEACH         ,11561
BAGEL CAFE                             ,757-59 E PARK AVENUE                   ,LONG BEACH         ,11561
